Country,Region,Facility_Name,Renamed_Facility_Type,Facility_Owner,Latitude,Longitude,Location_Source
Congo,Brazzaville,Mpissa l'Hopital de Base,Base Hospital,Government,-4.3034,15.2467,Google Earth
Congo,Brazzaville,Makelekele l'Hopital de Base,Base Hospital,Government,-4.2687,15.2138,Google Earth
Congo,Brazzaville,Talagai l'Hopital de Base,Base Hospital,Government,-4.221,15.2831,Google Earth
Congo,Niari,Dolisie l'Hopital de Base,Base Hospital,Government,-4.1964,12.6718,Google Earth
Congo,Plateaux,Abala l'Hopital de Base,Base Hospital,Government,-2.4559,14.7089,Geonames
Congo,Plateaux,Djambala l'Hopital de Base,Base Hospital,Government,-2.5447,14.7533,Geonames
Congo,Plateaux,Gamboma l'Hopital de Base,Base Hospital,Government,-1.8789,15.8623,Google Earth
Congo,Pointe Noire,Tie-Tie l'Hopital de Base,Base Hospital,Government,-4.8067,11.8963,Google Earth
Congo,Pool,Linzolo l'Hopital de Base,Base Hospital,Government,-4.417,15.116,Encarta
Congo,Sangha,Ouesso l'Hopital de Base,Base Hospital,Government,1.6151,16.0568,Google Earth
Democratic Republic of Congo,Congo Central,Matetta Centre Hospitalier,Central Hospital,Government,-5.231,15.0293,Geonames
Democratic Republic of Congo,Congo Central,Onatra Centre Hospitalier,Central Hospital,Government,-5.8449,13.0465,GPS
Democratic Republic of Congo,Congo Central,Sampa Centre Hospitalier,Central Hospital,Government,-5.8567,13.0621,GPS
Democratic Republic of Congo,Congo Central,Agrifor Centre Hospitalier,Central Hospital,Government,-5.5763,13.0236,GPS
Democratic Republic of Congo,Congo Central,Martin Luther Centre Hospitalier,Central Hospital,Government,-5.7975,13.0485,GPS
Democratic Republic of Congo,Congo Central,Zongo Centre Hospitalier,Central Hospital,Government,-4.7864,14.8921,GPS
Democratic Republic of Congo,Congo Central,Kionzo Centre Hospitalier,Central Hospital,Government,-5.7544,13.4221,GPS
Democratic Republic of Congo,Congo Central,Makaya Centre Hospitalier,Central Hospital,Government,-5.1918,13.5083,Google Earth
Democratic Republic of Congo,Congo Central,Nsanda Kizulu Centre Hospitalier,Central Hospital,Government,-5.6125,13.4428,GPS
Democratic Republic of Congo,Congo Central,Graaf Centre Hospitalier,Central Hospital,Government,-5.4131,12.9582,GPS
Democratic Republic of Congo,Congo Central,Kiezila Centre Hospitalier,Central Hospital,Government,-5.5694,13.0352,GPS
Democratic Republic of Congo,Congo Central,Kipholo 2 Centre Hospitalier,Central Hospital,Government,-5.3645,12.5745,GPS
Democratic Republic of Congo,Congo Central,Kinkosi Luidi Centre Hospitalier,Central Hospital,Government,-5.6334,15.6664,Geonames
Democratic Republic of Congo,Haut-Uele,Isiro Centre Hospitalier,Central Hospital,Government,2.7696,27.616,Other
Democratic Republic of Congo,Haut-Uele,Neisu Centre Hospitalier,Central Hospital,Government,2.7326,27.4048,Geonames
Democratic Republic of Congo,Haut-Uele,Nebobongo Centre Hospitalier,Central Hospital,Government,2.4619,27.6318,Combination
